id_invoice,issuedDate,address,company,companyEmail,country,contact,name,service,total,discount,tax,invoiceStatus,balance,dueDate,client
67,2023-07-10,"79402 Catherine Plains Apt. 137, Port Wanda, SD 43475",Delgado-Suarez,ulong@french.org,Cuba,(288)277-3302,Jason Johnson,AI Solution,8685.46,48.85,593.26,Paid,9229.87,2023-08-03,Company B
57,2022-10-05,"5564 Collins Walk, East Jennifer, NJ 73952",Hayes-Downs,joshuadiaz@cervantes.com,Uruguay,+1-261-278-3096,Daniel Cox,Mobile App Development,3196.11,437.68,131.34,Pending,2889.77,2022-10-19,Company A
79,2022-08-01,"565 Anderson Turnpike, Cooleyview, OR 59562",Smith-Miller,merrittcynthia@lynch.net,Liberia,691.974.8492,Micheal Gonzalez,UI/UX Design,294.28,48.23,7.74,Overdue,253.79,2022-08-09,Company D
96,2022-11-30,"9859 Sandra Glen Apt. 489, West John, CA 21602",Cole and Sons,curtis42@rosario.net,Mongolia,884-366-3499,Reginald Chase,Mobile App Development,2720.38,469.24,164.15,Overdue,2415.29,2022-12-16,Company D
87,2023-03-16,"20673 Rachel Forge, West Ashley, MH 24477","Martin, Paul and Clark",kevinalvarado@webb.com,Cyprus,736-784-8280,John Phillips,E-commerce Development,2202.77,410.17,214.34,Pending,2006.94,2023-04-04,Company D
94,2023-02-10,"02174 Carpenter Ranch, Davidchester, ND 82072","Guerrero, Holloway and Castro",jonesamber@manning.com,New Caledonia,001-900-580-2572x524,Danny King,E-commerce Development,2700.06,153.57,31.26,Paid,2577.75,2023-02-18,Company B
67,2023-05-07,"52046 Taylor Forest Apt. 241, North Stacy, GU 94163","Roberts, Mendez and Smith",isanchez@romero.biz,Montenegro,(401)902-4982x29140,Diane Taylor,AI Solution,4154.94,298.87,177.2,Overdue,4033.27,2023-05-30,Company C
88,2023-02-20,"PSC 7881, Box 4525, APO AP 39005",Harris-Frye,kdavis@conway.com,Kiribati,520.307.6889x035,Holly Williams,Web Development,845.23,35.66,34.76,Paid,844.33,2023-03-06,Company C
26,2022-08-28,"710 Natalie Square, West Jasonview, IA 37122",Park-Williams,bfoster@carlson.net,Chile,6339016922,Brittney Horton,AI Solution,5853.75,737.08,104.72,Overdue,5221.39,2022-09-10,Company A
40,2023-04-23,"1765 Jones Port, Autumnburgh, PW 31394",Ruiz-Jones,pcruz@sanchez.com,Anguilla,578.255.1203,Emily Davis,E-commerce Development,1546.54,280.52,134.35,Overdue,1400.37,2023-05-14,Company C
7,2023-04-14,"490 Davis Circles Suite 950, Davidmouth, NE 33469","Soto, Goodman and Wells",tfields@hunter.net,Ghana,(855)267-5943x078,Dr. John Mcmillan,UI/UX Design,913.97,42.73,37.57,Pending,908.81,2023-04-28,Company B
90,2023-03-14,"Unit 9507 Box 7913, DPO AE 96797","Brown, Vaughn and Newman",patriciascott@copeland-gray.com,Luxembourg,810.702.9452x694,Kimberly Flores,E-commerce Development,1969.0,80.87,36.8,Pending,1924.93,2023-03-22,Company A
65,2022-12-10,"338 Donald Prairie Suite 868, East Sarah, IL 60147",Hall-Buchanan,hobbscheryl@white.net,Australia,(233)806-1190x1991,Michael Jones,E-commerce Development,2423.13,200.24,206.2,Pending,2429.09,2022-12-20,Company E
51,2023-03-26,"08536 Reid Terrace, North Ellenland, VI 41380","Higgins, Miller and Bryant",tdavidson@taylor.com,Lesotho,659.812.0294x194,Natalie Harris,Mobile App Development,4553.6,710.85,9.05,Overdue,3851.8,2023-04-24,Company D
89,2022-09-16,"825 Andrew Forest Suite 588, Luishaven, ND 48619",Alexander and Sons,egonzalez@newton.net,Mexico,+1-700-717-5367x9612,Kristi Lane,UI/UX Design,307.41,22.26,25.9,Paid,311.05,2022-10-10,Company D
91,2023-05-03,"PSC 3274, Box 9993, APO AE 40548",Martin and Sons,obrientanya@steele.org,Mali,001-585-417-9496,Michael Lambert,AI Solution,8635.25,219.36,525.61,Pending,8941.5,2023-05-20,Company B
71,2023-02-23,"9922 Joshua Trace Apt. 112, West Matthewmouth, CT 69103","York, Dalton and Fischer",greenamanda@lee.info,Australia,(954)886-5453,Dylan Barrett,UI/UX Design,693.52,63.49,35.51,Pending,665.54,2023-03-21,Company A
34,2023-07-04,"64851 Jones Corner, Lake Elijah, LA 45536",Price-Davis,charleskelly@bell.com,Germany,001-698-919-7975,Deborah Gonzalez,AI Solution,5778.87,930.34,494.39,Pending,5342.92,2023-07-25,Company A
29,2022-11-02,"99058 Jake Rapid, North Christinefurt, MI 04946",Clark LLC,scottpace@stark-little.com,Bangladesh,001-468-214-8620x407,Matthew Harrington,Mobile App Development,4828.61,410.12,71.13,Paid,4489.62,2022-12-01,Company E
27,2023-06-02,"358 Wright Lodge Suite 486, South Joseph, MI 61128","Zimmerman, Arnold and Black",ibarajas@harmon.com,Paraguay,001-303-379-8593x278,Joshua Mccarty,E-commerce Development,1236.46,88.74,116.67,Overdue,1264.39,2023-06-15,Company C
80,2023-06-30,"1440 Miller Branch Apt. 948, Sydneychester, PA 95877",Johnson LLC,dwolfe@keller-chan.com,Western Sahara,2928911475,Cory Carter,Web Development,2488.66,11.02,125.17,Pending,2602.81,2023-07-25,Company B
90,2022-12-24,"3124 Leblanc Overpass, Russellhaven, RI 52948","Gordon, Barker and Kim",onelson@mack.com,Uzbekistan,4877008576,Yvonne Green,E-commerce Development,1590.43,314.16,135.99,Overdue,1412.26,2023-01-02,Company E
17,2023-01-15,"7798 Tyler Field Apt. 518, Jasonmouth, IN 03242",Williams-Olson,hernandezsusan@lopez.com,Denmark,(479)710-9298x2399,Cindy Herrera,IoT Solution,6149.65,198.59,109.14,Overdue,6060.2,2023-02-05,Company D
43,2023-07-06,"277 Walton Greens, Bridgettown, MA 70026",Moore-Pena,william60@anderson-potts.com,Romania,+1-676-838-8359,Katherine Palmer,Mobile App Development,4754.76,779.58,442.87,Overdue,4418.05,2023-07-30,Company B
93,2023-06-27,"6270 Howard Cape Suite 054, Washingtonhaven, MD 29858",Smith and Sons,grace21@pena.net,Netherlands Antilles,001-332-501-1012x5997,Amy Williams,E-commerce Development,4925.31,417.12,295.49,Pending,4803.68,2023-07-16,Company C
24,2023-06-22,"6859 Wendy Fall Apt. 833, West Jeffrey, MD 53460","Atkins, Clark and Hartman",xbrooks@richards-spencer.com,Nigeria,537.666.9184x8070,Cassandra Jones,Web Development,2391.33,98.66,176.33,Overdue,2469.0,2023-07-09,Company D
63,2023-02-08,"0577 Douglas Mills, Michaelfurt, CA 11063","Hendrix, Brown and Schmidt",perezjoseph@mack-sanchez.biz,El Salvador,686-638-9903,Frederick Booker,UI/UX Design,778.38,105.51,62.7,Pending,735.57,2023-03-03,Company D
2,2023-01-20,"09207 Ramos Inlet, East Sydneybury, AL 30842",Johnson-Jordan,james99@adams.biz,Belgium,001-383-558-7035x1426,Timothy Ford,UI/UX Design,483.82,92.41,31.32,Paid,422.73,2023-02-15,Company A
78,2022-07-15,"422 Thomas Glens, Blevinsbury, MS 13768",Haynes LLC,andrewdavis@ray-fitzgerald.info,Kiribati,+1-588-289-9651x246,Christopher Macias,Mobile App Development,3953.41,336.2,198.89,Pending,3816.1,2022-08-08,Company D
64,2022-09-26,"200 Shaw Mall Suite 759, Andrewton, GA 89971",Todd Group,oharding@dickson.com,Pakistan,978-360-2087,Andrew Weiss,UI/UX Design,543.7,41.04,22.01,Paid,524.67,2022-10-07,Company D
96,2022-10-20,"3980 Russell Ville, West Johnberg, TX 23687",Wilson-Parks,wendy08@lin.org,Cyprus,558-791-0300x2905,Oscar Valencia,Web Development,1343.17,18.74,57.47,Overdue,1381.9,2022-11-13,Company C
97,2023-01-09,"PSC 0935, Box 2067, APO AE 03233",Morales-Ballard,bunderwood@gregory.org,Barbados,443-335-9168,Jennifer Turner,E-commerce Development,1064.18,103.3,33.12,Overdue,994.0,2023-01-26,Company D
52,2023-04-20,"132 Richard Hill Suite 681, Port Hectorfurt, PA 86255",Bush Ltd,andrew01@harrington.biz,Solomon Islands,(548)968-9728,Nathaniel Sims,AI Solution,4452.6,544.53,16.38,Pending,3924.45,2023-05-07,Company E
4,2023-07-04,"39824 Wright Cove Suite 455, New Johnport, WI 49066",Miller Inc,gibbsmichael@cole-garza.com,Nicaragua,(264)494-5806x707,Nicholas Hurst,Mobile App Development,2442.98,63.7,28.61,Paid,2407.89,2023-07-12,Company A
23,2022-08-06,"2433 Richard Fort, Nicoleshire, GU 81481",Coleman-Sherman,kayla97@evans-jacobs.com,Swaziland,001-355-563-5775x489,Lee Nelson,E-commerce Development,1793.37,47.74,144.27,Pending,1889.9,2022-08-30,Company B
